MD5Leo,ConceptId,ProviderId,VersionId,MetadataFormat
A6c6ea616f27049451369fe861f24ca1f,C1279109560-SCIOPS,SCIOPS,Not provided,dif
A28b141850b4bf474e48fe40d3378847a,C1214560005-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A1ceef167afdb8b1c7ff9b2e46d7499d6,C1214561709-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A46df21c681e7632ea4150d00334fede9,C1215196977-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A53762b2e5ae79ea4cf86ec5fb887a93a,C1215196872-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ab8664b9664501fca315686867de079b3,C1278266950-NOAA_NCEI,NOAA_NCEI,Version 3b,dif
Abd5d12b024cfedc2c9ca9ae0e978f276,C1214559548-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A3f8de7fc1c064581d45bdbacc04d29ce,C1214562061-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A81fd7cd0ebd48ac22f17465c65b626f4,C1214559872-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A9da96fffc200452e9d0ac6b3d6686ff1,C1214557955-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Aff58d83658a9fcead3cf8b3f3171c617,C1221558721-NOAA_NCEI,NOAA_NCEI,First,dif
A4cec523a6e22e3e9d5ba86610a2ccd8f,C1215196863-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad5ddd24cdb593d96f1363a9af1a48522,C1214559205-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ae4ded0f54946fdd5a1d283747e0193e1,C1214559344-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A8b3ca31fd31038f64f827c53f2e06679,C1281609946-NOAA_NCEI,NOAA_NCEI,Version 2,dif
A4999e4ebc8ccaa76837268cd9b6d8859,C1214559582-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A5a75f59d095a032df403980bc21f0d0e,C1214562052-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ad32ee2a7df9fec360c8d50ac829f31aa,C1214562636-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Adfc938ec3b9aaa635dd73747b11d301e,C1214558806-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Afa8b9722c7c1096fb5c254249e7e335e,C1214568117-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A20ec83925d00cd0323a1a435e9d7071f,C1215197174-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A1f3b5438ddeec345f538c1363d2282f3,C1214561303-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Af18b30bfca1bc235b8a8b836dae7df12,C1214557807-NOAA_NCEI,NOAA_NCEI,First,dif
A16cd3fbcef97c58348fe89091fa89ade,C1214558460-NOAA_NCEI,NOAA_NCEI,Not provided,dif
A114582b22b2b4dc2947e493ecd8b7862,C1221622400-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Abfb026abc75c38e434a92ea92dd863ea,C1214565666-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Ab4ea2aaabb96490a6e0e096d991ddf79,C1214562953-NOAA_NCEI,NOAA_NCEI,Not provided,dif
Af091e91abdb68fb86ead3108678f6c5a,C1220581012-NOAA_NCEI,NOAA_NCEI,Not provided,dif
